Posicao,ID_Imagem,Score
1,image_490.jpg,0.997497
2,image_2232.jpg,0.995710
3,image_1894.jpg,0.992978
4,image_2217.jpg,0.990191
5,image_2111.jpg,0.986521
6,image_1081.jpg,0.986266
7,image_2602.jpg,0.985109
8,image_1332.jpg,0.979278
9,image_3025.jpg,0.977690
10,image_1877.jpg,0.976162
11,image_1590.jpg,0.975343
12,image_201.jpg,0.972489
13,image_114.jpg,0.971662
14,image_1401.jpg,0.970311
15,image_2574.jpg,0.969696
16,image_1165.jpg,0.967494
17,image_53.jpg,0.964314
18,image_563.jpg,0.962635
19,image_1914.jpg,0.961381
20,image_747.jpg,0.956617
21,image_1748.jpg,0.950476
22,image_459.jpg,0.945590
23,image_1747.jpg,0.937636
24,image_840.jpg,0.937432
25,image_1958.jpg,0.937040
26,image_151.jpg,0.922408
27,image_1270.jpg,0.920225
28,image_3064.jpg,0.919759
29,image_869.jpg,0.916813
30,image_3041.jpg,0.914123
31,image_599.jpg,0.908667
32,image_1717.jpg,0.899007
33,image_1095.jpg,0.898706
34,image_1462.jpg,0.898083
35,image_2247.jpg,0.896206
36,image_2661.jpg,0.877563
37,image_1694.jpg,0.877491
38,image_3144.jpg,0.868891
39,image_2807.jpg,0.859919
40,image_3045.jpg,0.859309
41,image_1898.jpg,0.857971
42,image_1077.jpg,0.855421
43,image_2652.jpg,0.849433
44,image_354.jpg,0.848902
45,image_2526.jpg,0.845186
46,image_2887.jpg,0.839548
47,image_152.jpg,0.835854
48,image_3138.jpg,0.834084
49,image_1139.jpg,0.830682
50,image_820.jpg,0.829976
51,image_585.jpg,0.828071
52,image_1861.jpg,0.815908
53,image_125.jpg,0.812151
54,image_470.jpg,0.806238
55,image_1508.jpg,0.799186
56,image_566.jpg,0.793921
57,image_3021.jpg,0.792984
58,image_626.jpg,0.789986
59,image_492.jpg,0.789076
60,image_2483.jpg,0.783917
61,image_2709.jpg,0.782673
62,image_316.jpg,0.778744
63,image_2031.jpg,0.775815
64,image_1935.jpg,0.775221
65,image_1693.jpg,0.774885
66,image_1481.jpg,0.769271
67,image_150.jpg,0.768619
68,image_1922.jpg,0.767635
69,image_1901.jpg,0.765046
70,image_227.jpg,0.763358
71,image_773.jpg,0.752135
72,image_1554.jpg,0.751170
73,image_513.jpg,0.750474
74,image_122.jpg,0.744787
75,image_445.jpg,0.744346
76,image_3082.jpg,0.742238
77,image_249.jpg,0.739383
78,image_111.jpg,0.738360
79,image_2731.jpg,0.733426
80,image_2164.jpg,0.730381
81,image_120.jpg,0.723223
82,image_2455.jpg,0.721866
83,image_2981.jpg,0.720937
84,image_193.jpg,0.719694
85,image_2739.jpg,0.719335
86,image_2734.jpg,0.716768
87,image_2035.jpg,0.711711
88,image_2202.jpg,0.711147
89,image_305.jpg,0.709270
90,image_21.jpg,0.707001
91,image_2782.jpg,0.706840
92,image_3183.jpg,0.704614
93,image_105.jpg,0.693363
94,image_916.jpg,0.689700
95,image_493.jpg,0.689253
96,image_2512.jpg,0.689036
97,image_3116.jpg,0.688426
98,image_2277.jpg,0.686549
99,image_1112.jpg,0.685886
100,image_1616.jpg,0.682932
101,image_248.jpg,0.680278
102,image_2658.jpg,0.677793
103,image_1710.jpg,0.675790
104,image_468.jpg,0.675558
105,image_1328.jpg,0.670209
106,image_230.jpg,0.669982
107,image_1787.jpg,0.669659
108,image_2686.jpg,0.669061
109,image_608.jpg,0.669002
110,image_2575.jpg,0.668799
111,image_1330.jpg,0.668098
112,image_2826.jpg,0.667870
113,image_2563.jpg,0.667781
114,image_1161.jpg,0.667477
115,image_2856.jpg,0.666872
116,image_2577.jpg,0.664267
117,image_2097.jpg,0.663349
118,image_2692.jpg,0.663323
119,image_2279.jpg,0.660633
120,image_2020.jpg,0.659499
121,image_2588.jpg,0.658908
122,image_805.jpg,0.651204
123,image_3122.jpg,0.645800
124,image_194.jpg,0.645754
125,image_2162.jpg,0.644955
126,image_2249.jpg,0.640337
127,image_202.jpg,0.637045
128,image_1759.jpg,0.636275
129,image_2693.jpg,0.636060
130,image_1691.jpg,0.636018
131,image_458.jpg,0.634789
132,image_494.jpg,0.633497
133,image_3169.jpg,0.631112
134,image_2738.jpg,0.631026
135,image_1327.jpg,0.630327
136,image_2552.jpg,0.628182
137,image_363.jpg,0.626542
138,image_2787.jpg,0.623242
139,image_1893.jpg,0.622589
140,image_2970.jpg,0.622284
141,image_856.jpg,0.621398
142,image_745.jpg,0.618847
143,image_527.jpg,0.618483
144,image_2290.jpg,0.613699
145,image_3029.jpg,0.611281
146,image_384.jpg,0.610654
147,image_2783.jpg,0.610290
148,image_2566.jpg,0.609936
149,image_385.jpg,0.608709
150,image_1608.jpg,0.608557
151,image_106.jpg,0.608432
152,image_3201.jpg,0.606456
153,image_2685.jpg,0.606388
154,image_1876.jpg,0.605823
155,image_1934.jpg,0.602900
156,image_1247.jpg,0.600897
157,image_2984.jpg,0.600710
158,image_2037.jpg,0.599893
159,image_2533.jpg,0.599479
160,image_2050.jpg,0.594963
161,image_2936.jpg,0.592408
162,image_2823.jpg,0.592375
163,image_49.jpg,0.591294
164,image_217.jpg,0.589462
165,image_1432.jpg,0.589450
166,image_2729.jpg,0.586067
167,image_2805.jpg,0.585975
168,image_2248.jpg,0.585444
169,image_2218.jpg,0.584875
170,image_1525.jpg,0.583418
171,image_2528.jpg,0.583133
172,image_353.jpg,0.582924
173,image_304.jpg,0.582633
174,image_1844.jpg,0.581882
175,image_3020.jpg,0.581765
176,image_1413.jpg,0.578759
177,image_1359.jpg,0.578194
178,image_63.jpg,0.576207
179,image_2142.jpg,0.576101
180,image_3081.jpg,0.572864
181,image_2568.jpg,0.569694
182,image_1215.jpg,0.569589
183,image_1938.jpg,0.569221
184,image_78.jpg,0.567871
185,image_2278.jpg,0.567200
186,image_2732.jpg,0.564046
187,image_104.jpg,0.563572
188,image_1713.jpg,0.562968
189,image_1653.jpg,0.561655
190,image_3080.jpg,0.560125
191,image_170.jpg,0.558646
192,image_12.jpg,0.557713
193,image_3170.jpg,0.557409
194,image_1786.jpg,0.557110
195,image_2516.jpg,0.556886
196,image_1337.jpg,0.556476
197,image_776.jpg,0.556395
198,image_65.jpg,0.554145
199,image_2662.jpg,0.553798
200,image_1318.jpg,0.552989
201,image_1471.jpg,0.550807
202,image_703.jpg,0.550504
203,image_704.jpg,0.549908
204,image_1981.jpg,0.549734
205,image_841.jpg,0.549728
206,image_2028.jpg,0.548011
207,image_698.jpg,0.545642
208,image_1033.jpg,0.543056
209,image_3117.jpg,0.542287
210,image_896.jpg,0.542009
211,image_3131.jpg,0.540666
212,image_2320.jpg,0.538669
213,image_1453.jpg,0.536933
214,image_1255.jpg,0.536704
215,image_1592.jpg,0.535571
216,image_1722.jpg,0.535046
217,image_1188.jpg,0.534838
218,image_2225.jpg,0.533897
219,image_1226.jpg,0.530865
220,image_2578.jpg,0.530708
221,image_2366.jpg,0.528746
222,image_2034.jpg,0.528400
223,image_2503.jpg,0.525664
224,image_542.jpg,0.524972
225,image_777.jpg,0.524010
226,image_700.jpg,0.522574
227,image_32.jpg,0.522376
228,image_1190.jpg,0.521879
229,image_1189.jpg,0.521148
230,image_1788.jpg,0.521142
231,image_2701.jpg,0.520642
232,image_2698.jpg,0.520175
233,image_1218.jpg,0.519436
234,image_607.jpg,0.519434
235,image_1415.jpg,0.517952
236,image_2403.jpg,0.517793
237,image_2611.jpg,0.512517
238,image_1202.jpg,0.511418
239,image_2902.jpg,0.509930
240,image_1360.jpg,0.508568
241,image_1001.jpg,0.507361
242,image_2307.jpg,0.507299
243,image_1232.jpg,0.507233
