Posicao,ID_Imagem,Score
178,image_1844.jpg,0.581882
179,image_3020.jpg,0.581765
180,image_1413.jpg,0.578759
181,image_1359.jpg,0.578194
182,image_63.jpg,0.576207
183,image_2142.jpg,0.576101
184,image_3081.jpg,0.572864
185,image_2568.jpg,0.569694
186,image_1215.jpg,0.569589
187,image_1938.jpg,0.569221
188,image_78.jpg,0.567871
189,image_2278.jpg,0.567200
190,image_2732.jpg,0.564046
191,image_104.jpg,0.563572
192,image_1713.jpg,0.562968
193,image_1653.jpg,0.561655
194,image_3080.jpg,0.560125
195,image_170.jpg,0.558646
196,image_12.jpg,0.557713
197,image_3170.jpg,0.557409
198,image_1786.jpg,0.557110
199,image_2516.jpg,0.556886
200,image_1337.jpg,0.556476
201,image_776.jpg,0.556395
202,image_65.jpg,0.554145
203,image_2662.jpg,0.553798
204,image_1318.jpg,0.552989
205,image_931.jpg,0.551076
206,image_1471.jpg,0.550807
207,image_703.jpg,0.550504
208,image_704.jpg,0.549908
209,image_1981.jpg,0.549734
210,image_841.jpg,0.549728
211,image_2028.jpg,0.548011
212,image_698.jpg,0.545642
213,image_1033.jpg,0.543056
214,image_3117.jpg,0.542287
215,image_896.jpg,0.542009
216,image_3131.jpg,0.540666
217,image_2320.jpg,0.538669
218,image_1453.jpg,0.536933
219,image_1255.jpg,0.536704
220,image_1592.jpg,0.535571
221,image_1722.jpg,0.535046
222,image_1188.jpg,0.534838
223,image_2225.jpg,0.533897
224,image_1226.jpg,0.530865
225,image_2578.jpg,0.530708
226,image_2366.jpg,0.528746
227,image_2034.jpg,0.528400
228,image_2503.jpg,0.525664
229,image_542.jpg,0.524972
230,image_777.jpg,0.524010
231,image_700.jpg,0.522574
232,image_32.jpg,0.522376
233,image_1190.jpg,0.521879
234,image_1189.jpg,0.521148
235,image_1788.jpg,0.521142
236,image_2701.jpg,0.520642
237,image_2698.jpg,0.520175
238,image_1218.jpg,0.519436
239,image_607.jpg,0.519434
240,image_1415.jpg,0.517952
241,image_2403.jpg,0.517793
242,image_2611.jpg,0.512517
243,image_1202.jpg,0.511418
244,image_2902.jpg,0.509930
245,image_1360.jpg,0.508568
246,image_1001.jpg,0.507361
247,image_2307.jpg,0.507299
248,image_1232.jpg,0.507233
249,image_1862.jpg,0.506578
250,image_981.jpg,0.506063
251,image_1902.jpg,0.505382
252,image_1698.jpg,0.504781
253,image_1080.jpg,0.504773
254,image_2155.jpg,0.504471
255,image_2360.jpg,0.503731
256,image_18.jpg,0.503716
257,image_1982.jpg,0.503461
258,image_2425.jpg,0.502874
259,image_2289.jpg,0.501753
260,image_1791.jpg,0.500859
261,image_2327.jpg,0.500725
262,image_1899.jpg,0.500695
263,image_2368.jpg,0.500514
264,image_1261.jpg,0.500416
265,image_965.jpg,0.497551
266,image_791.jpg,0.496781
267,image_3163.jpg,0.495931
268,image_748.jpg,0.495840
269,image_22.jpg,0.495398
270,image_1096.jpg,0.494741
271,image_1845.jpg,0.493630
272,image_256.jpg,0.493476
273,image_460.jpg,0.490667
274,image_1904.jpg,0.488960
275,image_2786.jpg,0.487867
276,image_444.jpg,0.486921
277,image_2482.jpg,0.486713
278,image_2713.jpg,0.485855
279,image_912.jpg,0.485645
280,image_3129.jpg,0.485336
281,image_215.jpg,0.485262
282,image_2304.jpg,0.484972
283,image_3124.jpg,0.484944
284,image_2431.jpg,0.484288
285,image_942.jpg,0.483338
286,image_2149.jpg,0.482070
287,image_953.jpg,0.479448
288,image_1321.jpg,0.479237
289,image_1790.jpg,0.478098
290,image_1589.jpg,0.477870
291,image_2220.jpg,0.476677
292,image_2676.jpg,0.473828
293,image_2019.jpg,0.473754
294,image_2022.jpg,0.473404
295,image_1250.jpg,0.471957
296,image_1595.jpg,0.471740
297,image_3132.jpg,0.470840
298,image_339.jpg,0.470803
299,image_2424.jpg,0.470769
300,image_13.jpg,0.470527
301,image_6.jpg,0.470389
302,image_292.jpg,0.470219
303,image_1233.jpg,0.467072
304,image_1032.jpg,0.466558
305,image_3130.jpg,0.466543
306,image_3168.jpg,0.465941
307,image_3000.jpg,0.465722
308,image_3123.jpg,0.464246
309,image_2143.jpg,0.464171
310,image_1234.jpg,0.464062
311,image_163.jpg,0.463720
312,image_1422.jpg,0.463159
313,image_2957.jpg,0.462926
314,image_1386.jpg,0.461857
315,image_2530.jpg,0.461234
316,image_2784.jpg,0.459877
317,image_3026.jpg,0.458488
318,image_532.jpg,0.456202
319,image_1416.jpg,0.455738
320,image_2345.jpg,0.454170
321,image_2216.jpg,0.453285
322,image_112.jpg,0.449738
323,image_2201.jpg,0.449588
324,image_1626.jpg,0.448808
325,image_551.jpg,0.448798
326,image_571.jpg,0.448063
327,image_2702.jpg,0.446850
328,image_2430.jpg,0.445367
329,image_2572.jpg,0.445202
330,image_536.jpg,0.445162
331,image_2412.jpg,0.445092
332,image_1254.jpg,0.444706
333,image_121.jpg,0.444524
334,image_2188.jpg,0.444252
335,image_2785.jpg,0.443704
336,image_2788.jpg,0.442561
337,image_255.jpg,0.442168
338,image_1696.jpg,0.441284
339,image_2534.jpg,0.440208
340,image_372.jpg,0.439562
341,image_2899.jpg,0.438960
342,image_218.jpg,0.438119
343,image_2245.jpg,0.437382
344,image_545.jpg,0.435837
345,image_1164.jpg,0.435181
346,image_2417.jpg,0.434490
347,image_9.jpg,0.433433
348,image_1.jpg,0.433223
349,image_2912.jpg,0.432927
350,image_609.jpg,0.432400
351,image_2886.jpg,0.431883
352,image_1092.jpg,0.430771
353,image_3017.jpg,0.430631
354,image_1203.jpg,0.430590
355,image_2170.jpg,0.429919
356,image_2550.jpg,0.428916
357,image_779.jpg,0.428765
358,image_1322.jpg,0.428585
359,image_2189.jpg,0.427997
360,image_1329.jpg,0.427807
361,image_2840.jpg,0.426290
362,image_2219.jpg,0.424919
